eventID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID,measurementID,occurrenceID,measurementMethod
IYS2022-002-037,Sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,Unknown,https://vocab.nerc.ac.uk/collection/S10/current/S105/,,,IYS2022-002-037-95C-0032-Sex,IYS2022-002-037-95C-0032,
IYS2022-002-037,Ageclass,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,"NA",,,,IYS2022-002-037-95C-0033-Ageclass,IYS2022-002-037-95C-0033,
IYS2022-002-037,Specimen_Length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,55,,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS2022-002-037-95C-0033-Specimen_Length,IYS2022-002-037-95C-0033,
IYS2022-002-037,Specimen_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,6,,grams,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,IYS2022-002-037-95C-0033-Specimen_Weight,IYS2022-002-037-95C-0033,
IYS2022-002-037,Sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,Unknown,https://vocab.nerc.ac.uk/collection/S10/current/S105/,,,IYS2022-002-037-95C-0033-Sex,IYS2022-002-037-95C-0033,
IYS2022-002-037,Ageclass,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,"NA",,,,IYS2022-002-037-95C-0034-Ageclass,IYS2022-002-037-95C-0034,
IYS2022-002-037,Specimen_Length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,54,,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS2022-002-037-95C-0034-Specimen_Length,IYS2022-002-037-95C-0034,
IYS2022-002-037,Specimen_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,6,,grams,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,IYS2022-002-037-95C-0034-Specimen_Weight,IYS2022-002-037-95C-0034,
IYS2022-002-037,Sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,Unknown,https://vocab.nerc.ac.uk/collection/S10/current/S105/,,,IYS2022-002-037-95C-0034-Sex,IYS2022-002-037-95C-0034,
IYS2022-002-037,Ageclass,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,"NA",,,,IYS2022-002-037-95C-0035-Ageclass,IYS2022-002-037-95C-0035,
IYS2022-002-037,Specimen_Length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,47,,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS2022-002-037-95C-0035-Specimen_Length,IYS2022-002-037-95C-0035,
IYS2022-002-037,Specimen_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,5,,grams,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,IYS2022-002-037-95C-0035-Specimen_Weight,IYS2022-002-037-95C-0035,
IYS2022-002-037,Sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,Unknown,https://vocab.nerc.ac.uk/collection/S10/current/S105/,,,IYS2022-002-037-95C-0035-Sex,IYS2022-002-037-95C-0035,
IYS2022-002-037,Ageclass,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,"NA",,,,IYS2022-002-037-95C-0036-Ageclass,IYS2022-002-037-95C-0036,
IYS2022-002-037,Specimen_Length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,47,,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS2022-002-037-95C-0036-Specimen_Length,IYS2022-002-037-95C-0036,
IYS2022-002-037,Specimen_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,5,,grams,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,IYS2022-002-037-95C-0036-Specimen_Weight,IYS2022-002-037-95C-0036,
IYS2022-002-037,Sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,Unknown,https://vocab.nerc.ac.uk/collection/S10/current/S105/,,,IYS2022-002-037-95C-0036-Sex,IYS2022-002-037-95C-0036,
IYS2022-002-037,Ageclass,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,"NA",,,,IYS2022-002-037-95C-0037-Ageclass,IYS2022-002-037-95C-0037,
IYS2022-002-037,Specimen_Length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,53,,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS2022-002-037-95C-0037-Specimen_Length,IYS2022-002-037-95C-0037,
IYS2022-002-037,Specimen_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,6,,grams,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,IYS2022-002-037-95C-0037-Specimen_Weight,IYS2022-002-037-95C-0037,
IYS2022-002-037,Sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,Unknown,https://vocab.nerc.ac.uk/collection/S10/current/S105/,,,IYS2022-002-037-95C-0037-Sex,IYS2022-002-037-95C-0037,
IYS2022-002-037,Ageclass,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,"NA",,,,IYS2022-002-037-95C-0038-Ageclass,IYS2022-002-037-95C-0038,
IYS2022-002-037,Specimen_Length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,45,,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS2022-002-037-95C-0038-Specimen_Length,IYS2022-002-037-95C-0038,
IYS2022-002-037,Specimen_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,5,,grams,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,IYS2022-002-037-95C-0038-Specimen_Weight,IYS2022-002-037-95C-0038,
IYS2022-002-037,Sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,Unknown,https://vocab.nerc.ac.uk/collection/S10/current/S105/,,,IYS2022-002-037-95C-0038-Sex,IYS2022-002-037-95C-0038,
IYS2022-002-037,Ageclass,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,"NA",,,,IYS2022-002-037-95C-0039-Ageclass,IYS2022-002-037-95C-0039,
IYS2022-002-037,Specimen_Length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,54,,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS2022-002-037-95C-0039-Specimen_Length,IYS2022-002-037-95C-0039,
IYS2022-002-037,Specimen_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,7,,grams,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,IYS2022-002-037-95C-0039-Specimen_Weight,IYS2022-002-037-95C-0039,
IYS2022-002-037,Sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,Unknown,https://vocab.nerc.ac.uk/collection/S10/current/S105/,,,IYS2022-002-037-95C-0039-Sex,IYS2022-002-037-95C-0039,
IYS2022-002-037,Ageclass,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,"NA",,,,IYS2022-002-037-95C-0040-Ageclass,IYS2022-002-037-95C-0040,
