eventID,occurrenceID,scientificName,scientificNameID,scientificNameAuthorship,taxonomicStatus,taxonRank,vernacularName,individualCount,kingdom,phylum,class,order,family,genus,specificEpithet,dateIdentified,identifiedBy,basisOfRecord,occurrenceStatus
IYS2022-002-063,IYS2022-002-063-115,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,"(Walbaum, 1792)",accepted,Species,Coho Salmon,2,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,2022-03-02T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-013,IYS2022-002-013-112,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,Chum Salmon,2,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,keta,2022-02-22T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-017,IYS2022-002-017-112,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,Chum Salmon,1,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,keta,2022-02-23T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-021,IYS2022-002-021-112,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,Chum Salmon,17,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,keta,2022-02-23T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-025,IYS2022-002-025-112,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,Chum Salmon,6,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,keta,2022-02-24T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-029,IYS2022-002-029-112,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,Chum Salmon,9,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,keta,2022-02-24T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-045,IYS2022-002-045-112,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,Chum Salmon,23,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,keta,2022-02-27T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-049,IYS2022-002-049-112,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,Chum Salmon,11,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,keta,2022-02-28T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-050,IYS2022-002-050-112,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,Chum Salmon,1,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,keta,2022-02-28T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-059,IYS2022-002-059-112,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,Chum Salmon,1,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,keta,2022-03-01T00:00:00Z,Tyler Zubkowski,HumanObservation,present
